t_ms,e1,e2,e3,e4,e5,e6,e7
4.2,0.13214739815510518,0.15496825530777988,0.11616109197579917,0.09992344008255448,0.10980202536137182,0.0999234400825545,0.11616109197579914
4.2250000000000005,0.1230149244573816,0.14581453258203445,0.10954843553809335,0.09345452069224204,0.10164172154239245,0.09345452069224205,0.10954843553809332
4.25,0.11417296709344806,0.13650936717108117,0.10289655609563793,0.08719066025247499,0.09394182508992423,0.087190660252475,0.1028965560956379
4.275,0.10571108510032694,0.12725765838174632,0.09631876789256587,0.08118189276362359,0.08672129396617953,0.0811818927636236,0.09631876789256585
4.3,0.09768666237227318,0.11821593742498118,0.08990159120116004,0.07546070121517007,0.07998281470787338,0.07546070121517008,0.08990159120116002
4.325,0.0901315086833961,0.10949770646791968,0.08370801531493194,0.07004548720512396,0.07371729374779541,0.07004548720512396,0.08370801531493194
4.3500000000000005,0.08305780513459446,0.10117998390404354,0.07778113730502687,0.0649436769665627,0.06790746691773945,0.0649436769665627,0.07778113730502687
4.375,0.0764631863501127,0.09331008517317273,0.07214778308069704,0.06015438719587712,0.06253071525250682,0.06015438719587712,0.07214778308069703
4.4,0.07033491327348271,0.08591200708495358,0.0668218619911576,0.05567063877379922,0.05756120437288683,0.055670638773799234,0.0668218619911576
4.425,0.0646531889524833,0.07899206546780098,0.06180732177276952,0.051481146120939805,0.05297146999310229,0.05148114612093982,0.06180732177276952
4.45,0.059393720824638056,0.07254364397089441,0.05710065432109259,0.04757173087759214,0.04873356384701236,0.04757173087759215,0.05710065432109259
4.4750000000000005,0.05452965196064189,0.06655104924936148,0.05269295780832468,0.04392641676019256,0.04481985970459391,0.04392641676019256,0.05269295780832468
4.5,0.050032983012422275,0.0609925477132857,0.048571592963261606,0.04052826263373923,0.04120360265121402,0.04052826263373923,0.048571592963261606
4.525,0.04587559540392537,0.05584269731130769,0.04472148719797193,0.037359986600038766,0.0378592689768588,0.03735998660003877,0.04472148719797193
4.55,0.04202997068929886,0.05107409882709149,0.04112614525853369,0.034404427650692924,0.03476279011574844,0.03440442765069293,0.04112614525853368
4.575,0.038469684668568996,0.04665868617762315,0.03776842353189458,0.0316448846820426,0.03189168252162615,0.0316448846820426,0.03776842353189458
4.6000000000000005,0.03516973976278713,0.04256866216896243,0.034631120137715195,0.02906536626197851,0.029225116125573384,0.02906536626197851,0.034631120137715195
4.625,0.0321067861413153,0.038777170164154794,0.03169742646592997,0.02665077885330081,0.026743946814180963,0.026650778853300815,0.03169742646592996
4.65,0.02925927128201442,0.03525877602487544,0.028951279018618922,0.0243870762865592,0.0244307327642034,0.0243870762865592,0.028951279018618922
4.675,0.026607548709992362,0.031989819815167346,0.026377643753364315,0.022261388949658373,0.022269749969241186,0.022261388949658373,0.026377643753364308
4.7,0.02413396899708772,0.028948683352812955,0.023962758579839472,0.02026214703700951,0.020247018308143842,0.02026214703700951,0.023962758579839472
4.7250000000000005,0.021822968901183317,0.02611600730272172,0.021694352816138157,0.01837920771033087,0.01835034535103117,0.01837920771033087,0.02169435281613815
4.75,0.01966116681360345,0.023474879207337287,0.019561854548369846,0.016603990433704828,0.016569389990183998,0.016603990433704828,0.019561854548369846
4.775,0.01763746342492929,0.0210110004879246,0.017556587063153276,0.014929617228436418,0.014895741075950677,0.014929617228436418,0.017556587063153276
4.800000000000001,0.015743134820530722,0.018712824965299465,0.01567194302796404,0.01335104442474229,0.013322996809708311,0.01335104442474229,0.01567194302796404
4.825,0.013971890794869365,0.016571643442088044,0.01390350966840355,0.01186515949070379,0.011846818507176681,0.01186515949070379,0.01390350966840355
4.8500000000000005,0.012319855180548086,0.014581569578690601,0.01224910110726665,0.010470801843381531,0.010464918572982465,0.010470801843381535,0.01224910110726665
4.875,0.010785411134428036,0.012739365787516546,0.010708639239957666,0.009168653733013647,0.009176930476261157,0.009168653733013647,0.010708639239957666
4.9,0.00936884981904569,0.011044042210976603,0.009283819651713378,0.007960943164922728,0.007984104670046363,0.007960943164922728,0.009283819651713378
4.925000000000001,0.008071775997397652,0.009496178476127343,0.007977514933073863,0.006850915059399554,0.006888787954909888,0.006850915059399554,0.007977514933073863
4.95,0.006896268228294762,0.008096967424987316,0.006792914326125306,0.005842068441678947,0.005893683319126169,0.005842068441678947,0.006792914326125306
4.9750000000000005,0.0058438652846506825,0.006847063040187812,0.0057324765998665525,0.004937227086327649,0.00500095348174225,0.004937227086327649,0.0057324765998665525
5.0,0.004914536313136329,0.005745411176981501,0.004796863562832379,0.0041375919799359106,0.004211308362129246,0.0041375919799359106,0.004796863562832379
5.025,0.004105851562211592,0.004788308062903032,0.003984083960762105,0.0034419799086646036,0.0035232700246797676,0.0034419799086646045,0.003984083960762105
5.050000000000001,0.0034125595856007223,0.003968918796767816,0.0032890656374855946,0.002846442279262999,0.0029327991891876675,0.002846442279262999,0.0032890656374855937
5.075,0.002826678722185126,0.0032773773044628284,0.0027037699240459296,0.002344365915761415,0.0024333798779339233,0.002344365915761415,0.0027037699240459296
5.1000000000000005,0.0023380590890697793,0.0027014184021714144,0.0022178019316002454,0.0019270147859734913,0.002016523304131319,0.0019270147859734917,0.0022178019316002454
5.125,0.0019352378308453953,0.0022273422163898732,0.001819329293670586,0.001584345811859727,0.0016725327180341744,0.001584345811859727,0.001819329293670586
5.15,0.0016063567160595953,0.0018410506365438473,0.0014960651447485924,0.0013058813524609713,0.001391322958668742,0.0013058813524609713,0.0014960651447485924
